user_id,created_date_pseudo,mean compound score,number of tweets,followers_count,screen_name
x710782219,Pre Episode 1,0.07237179487179488,39,106845,Arya_No1
x710782219,S8 Episode 1,0.12328556701030921,97,106845,Arya_No1
x710782219,S8 Episode 2,0.019572826086956516,92,106845,Arya_No1
x710782219,S8 Episode 3,0.09928490566037738,106,106845,Arya_No1
x710782219,S8 Episode 4,0.05249338842975207,121,106845,Arya_No1
x710782219,S8 Episode 5,-0.06434161490683231,161,106845,Arya_No1
x710782219,S8 Episode 6,0.09248271604938271,81,106845,Arya_No1
x304411861,Pre Episode 1,-0.205,6,100557,Margaery_Tyrell
x304411861,S8 Episode 1,0.04753265306122449,98,100557,Margaery_Tyrell
x304411861,S8 Episode 2,0.005923255813953495,43,100557,Margaery_Tyrell
x304411861,S8 Episode 3,0.0327,48,100557,Margaery_Tyrell
x304411861,S8 Episode 4,-0.003578625954198462,131,100557,Margaery_Tyrell
x304411861,S8 Episode 5,0.056928140703517593,199,100557,Margaery_Tyrell
x304411861,S8 Episode 6,0.04472100840336136,119,100557,Margaery_Tyrell
x607150882,Pre Episode 1,0.1707059701492538,67,92320,danygonebad
x607150882,S8 Episode 1,0.12342390745501275,389,92320,danygonebad
x607150882,S8 Episode 2,0.07834797297297294,296,92320,danygonebad
x607150882,S8 Episode 3,0.05443132530120485,249,92320,danygonebad
x607150882,S8 Episode 4,0.0384757281553398,206,92320,danygonebad
x607150882,S8 Episode 5,0.1468738970588235,272,92320,danygonebad
x607150882,S8 Episode 6,0.08167327188940093,217,92320,danygonebad
x269930499,Pre Episode 1,-0.28874285714285713,7,63554,Queen_Cersei
x269930499,S8 Episode 1,-0.07552558139534885,43,63554,Queen_Cersei
x269930499,S8 Episode 2,0.014240000000000001,45,63554,Queen_Cersei
x269930499,S8 Episode 3,-0.18612577319587623,97,63554,Queen_Cersei
x269930499,S8 Episode 4,0.01107051282051281,78,63554,Queen_Cersei
x269930499,S8 Episode 5,-0.030563199999999992,125,63554,Queen_Cersei
x269930499,S8 Episode 6,0.09767837837837838,37,63554,Queen_Cersei
x18848018,Pre Episode 1,0.04118837209302325,43,58186,NiceQueenCersei
x18848018,S8 Episode 1,0.042789999999999946,360,58186,NiceQueenCersei
x18848018,S8 Episode 2,-0.012984090909090916,176,58186,NiceQueenCersei
x18848018,S8 Episode 3,0.04509418181818182,275,58186,NiceQueenCersei
x18848018,S8 Episode 4,0.035515207373271906,217,58186,NiceQueenCersei
x18848018,S8 Episode 5,0.05294822485207107,338,58186,NiceQueenCersei
x18848018,S8 Episode 6,0.015379562043795605,137,58186,NiceQueenCersei
x381589533,Pre Episode 1,0.08504528301886796,53,33255,BeautyBrienne
x381589533,S8 Episode 1,-0.00031515151515151916,198,33255,BeautyBrienne
x381589533,S8 Episode 2,0.005928034682080932,346,33255,BeautyBrienne
x381589533,S8 Episode 3,0.010292289156626477,415,33255,BeautyBrienne
x381589533,S8 Episode 4,0.041855589123867075,331,33255,BeautyBrienne
x381589533,S8 Episode 5,0.09227352112676057,355,33255,BeautyBrienne
x381589533,S8 Episode 6,0.0772668,250,33255,BeautyBrienne
x707669091704823808,Pre Episode 1,-0.0191375,8,28232,WightsKing
x707669091704823808,S8 Episode 1,0.02939237288135594,118,28232,WightsKing
x707669091704823808,S8 Episode 2,-0.016539759036144575,166,28232,WightsKing
x707669091704823808,S8 Episode 3,-0.03618727272727272,165,28232,WightsKing
x707669091704823808,S8 Episode 4,-0.04687500000000001,156,28232,WightsKing
x707669091704823808,S8 Episode 5,-0.030493865030674853,163,28232,WightsKing
x707669091704823808,S8 Episode 6,0.018722758620689655,145,28232,WightsKing
x1346533753,Pre Episode 1,0.04664146341463416,82,16496,BastardGendry
x1346533753,S8 Episode 1,0.10153148788927337,289,16496,BastardGendry
x1346533753,S8 Episode 2,0.03867344753747325,467,16496,BastardGendry
x1346533753,S8 Episode 3,0.02403039647577092,454,16496,BastardGendry
x1346533753,S8 Episode 4,0.05120179640718563,167,16496,BastardGendry
x1346533753,S8 Episode 5,0.027290476190476153,231,16496,BastardGendry
x1346533753,S8 Episode 6,0.11481739130434777,207,16496,BastardGendry
x320140485,Pre Episode 1,0.14524285714285715,7,15589,King_Stannis
x320140485,S8 Episode 1,0.09877613636363636,88,15589,King_Stannis
x320140485,S8 Episode 2,0.08104403669724769,109,15589,King_Stannis
x320140485,S8 Episode 3,0.031115492957746474,71,15589,King_Stannis
x320140485,S8 Episode 4,0.06668913043478261,92,15589,King_Stannis
x320140485,S8 Episode 5,0.08641363636363636,110,15589,King_Stannis
x320140485,S8 Episode 6,0.25996619718309866,142,15589,King_Stannis
x2882622665,Pre Episode 1,0.00516,5,14883,JonNightsWatch
x2882622665,S8 Episode 1,0.08670357142857144,84,14883,JonNightsWatch
x2882622665,S8 Episode 2,0.14122702702702705,74,14883,JonNightsWatch
x2882622665,S8 Episode 3,0.02400183486238531,109,14883,JonNightsWatch
x2882622665,S8 Episode 4,0.0336257731958763,97,14883,JonNightsWatch
